Message,Liwc,OpLexicon,SentiLex
Meu deus que vergonha @Curitiba_PMC  https://t.co/QQU49TYjtD,0,0,-1
Hahaha pode isso @Curitiba_PMC  https://t.co/PchEUMu4nq,1,0,0
"@prefeiturabelem @belemtransito e a drenagem e urbanização do ""canal"" da Augusto Montenegro começa qd???? https://t.co/0iPMeIy0PI",0,1,0
@leiomaurobonna #souEmmanuelGilmar para a reitoria da  nossa UFPA! ????,0,0,0
@Curitiba_PMC Nessa hr elas já estão no dedo do padre rsrsrs,0,0,0
Coloquei uma cota em que fiquei em 12 lugar na repescagem da ufpa. Sendo que sem conta eu seria o primeiro lugar da repescagem.,0,0,0
"@Curitiba_PMC Nem no Rio, a cidade mais quente no universo eu via tamamha sujeira nos ônibus e metrô. Estou decepcionada com a nossa cidade!",1,-1,-1
Vamo votar na melhor opção para à Reitoria da UFPA galera: Emmanuel Tourinho e Gilmar Santos.  https://t.co/G5hwYSb25X,1,1,1
QUERIA MANDA TOMA NO CU A PÁGINA DA PREFEITURA DE CURITIBA,1,0,0
@leiomaurobonna Verá Jacob para reitoria da UFPA!,0,0,0
@Mauricio_Bonato @Curitiba_PMC não existe prefeito. O Didi Mocó do bolso cheio só queria ser prefeito. Depois esqueceu da nossa Curitiba.,0,0,0
@leiomaurobonna  Voto em Tourinho/Gilmar para UFPA continuar a avançar!,1,1,0
To sem preparo psicologico pra amanha segunda feira dia do demonio odeio aula odeio ufpa caralho,-1,0,-1
"em @Curitiba_PMC vai ser a mesma coisa, povo se ilude fácil eim https://t.co/bJJi0HBRP5",0,1,-1
"Uma hora na fila do @BancodoBrasil ufpa p/ abrir CC Universi., pra no final o cara dizer que faltou um documento que não constava no site.",1,-1,0
Seminário de web semântica. — se sentindo desesperada em Universidade Federal do Pará - UFPA - Oficial https://t.co/eUZ7bYks6t,0,-1,-1
Emanuel Tourinho e Gilmar os melhores nomes para assumir a Reitoria sa UFPA. Nestes eu voto  com segurança.,1,0,1
@m_jaays quer ver da UFPA pra casa com diarréia,1,1,0
@Curitiba_PMC me adota  Chapecó tem porra nenhuma,0,0,0
@Curitiba_PMC @Uber @gustavofruet ao invés de aprender com os erros das outras cidades e tentar achar um senso comum tu comete os mesmos.,-1,1,-1
"@joaoreitorufpa Tivemos u1 década de investimentos pesados na UFpa, mas a Ufpa ñ  planejou a aplicação dos recursos no sentido da excelência",0,-1,1
@_NettoCWB @BlogOlhoNaMira @blogdojota @Boca_Maldita @fabiocampana @gazetadopovo @Curitiba_PMC @gustavofruet Que m...é essa?????,0,0,0
tenho q ir na ufpa mas o rafa n aparece p me fazer companhia,0,0,0
@Adricarmo13 tive que citar a @ do prefeito @gustavofruet por que os petralhas democráticos da @Curitiba_PMC me bloquearam. BASTA capivaras,0,0,0
Olha lá a @Curitiba_PMC recebendo grana da Odebrecht… mas o Uber que é irregular né? https://t.co/boc98iunsL,1,1,-1
"@gazetadopovo @Curitiba_PMC @Gazetadobozo @gustavofruet  Alô imprensa, mais de um mês essa enorme obra da PMC parada https://t.co/XT6xWfd3Or",1,-1,-1
@ellentwiss @BlogOlhoNaMira @blogdojota @Boca_Maldita @fabiocampana @gazetadopovo @Curitiba_PMC @gustavofruet POMBOS dentro da rodoviária.,0,0,0
Fui pra Ufpa pra nada. Naaadaaa :/,0,0,0
Prefeitura de Belém muda sistema de pagamento de taxas para feirantes e abusa no reajuste.: Os feirantes de Be... https://t.co/Jf6XwRfXre,-1,1,-1
A corrupção ta tão grande no Brasil que mais fácil tu encontrar teu nome na lista da Odebrecht do que no listão de repescagem da UFPA,1,0,-1
"Acidentes, assaltos na aug Mont, culpa da @prefeiturabelem e @BRTBelemOficial , dupla dinâmica! Do green ville 1 até sup. Nazare, Vergonha!!",0,1,-1
Por que a @Curitiba_PMC não funciona hoje? Essa gente é muito largada. Péssimo atendimento e mimimi sobre vencimentos. É vergonhoso isso.,1,1,-1
@Curitiba_PMC e a vagabundagem continua forte no serviço público antecipar feriado hoje parabéns @gustavofruet tudo pela reeleição #curitiba,0,1,0
"@Curitiba_PMC, o que acha da ideia de uma faixa de pedestres no cruzamento da R. Eng. Ostoja Roguski com a R. Dr. Jorge Meyer Filho?",0,0,0
@Curitiba_PMC é sempre um problema para os alunos da @UFPR  e demais pedestres atravessarem aqui.,-1,0,-1
@tzontag @Curitiba_PMC @gustavofruet só pelo fato que já tentou uma vez? Não tenta mais? Deixa os caras ali largados?,0,-1,0
"@WilliamSRodz @Curitiba_PMC @gustavofruet Ñ querendo defender mas me parece q insistem sim. Depois do q vi, ñ culpo mais a prefeitura. :\",1,0,0
Neste momento não há médicos atendendo na UPA do Campo Comprido @Curitiba_PMC. Espera longa da população! O q fazer? https://t.co/Q2z94cTmTA,0,-1,0
Adeus @Curitiba_PMC,0,0,0
@Curitiba_PMC interessante quando há menção ao judô paulista e não há ao judô curitibano!,0,1,1
"Tava vendo a lista de espera da ufpa, a minha ex tirou 500 e alguma coisa no enem. Ela estudava em colégio bom e tinha tudo o que quisesse.",1,1,0
O dia que a Luciana genro foi na ufpa eu fiz questão de faltar aula pra não ter nem risco de pegar a doenca pelo ar,0,1,0
@Curitiba_PMC nunca vi uma cidade para ter asfalto ruim!! Acaba com nossos carros!!!,-1,0,-1
"@mermaidarielb @monteiro_vh Tsc... Típico fã de capivaras... Vai falar que curte ""Prefeitura de Curitiba"" e ""Dollynho Opressor 2.0"" também?",0,0,-1
Agora são duas @Curitiba_PMC @plantao190alguém resolve criar ou foram roubadas https://t.co/CMIKYgP8bp,0,-1,0
@Curitiba_PMC prefeitura tem como me falar aonde esta esses pias lindos que falam que tem em cwb? Pq ta dificil,1,1,1
Como eu odeio a ufpa,-1,0,0
"Sordidez mode HARD o que fizeram com a repórter @ritamcsoares e, em especial, com a população. Prefeitura de Belém deveria se retratar.",0,1,0
o terminal do capao raso é um exemplo da falta de vergonha na cara da prefeitura de curitiba,0,0,-1
Lideranças da CIC criticam abandono e falta de investimento da prefeitura de Curitiba. https://t.co/DPnAPJkJKA,-1,-1,-1
"@belemtransito @SantanaWalterjr alô @SeMOB_Bel @prefeiturabelem que vergonha uma nova via do recente  binário nessas condições, cada cratera",1,0,-1
"@rclube A Guarda Municipal deveria cuidar do patrimônio material da cidade, mas a @prefeiturabelem a enxerga como guardas de trânsito!",1,0,0
"hahaha o post da prefeitura de belém ta no post do buzzfeed, que fase",1,0,0
Nois faz graduação  mas nois já  tem doutorado  em passar vergonha (@ UFPA - Universidade Federal do Pará) https://t.co/FCx4aLBfar,0,0,-1
"Vamo seca o Parmera na casa do @portesovic (@ Portão - @curitiba_pmc in Curitiba, PR) https://t.co/oJCy791n8G",0,-1,-1
Belém não  aproveitou  a Janela de Oportunidade. Prefeitura de Belém  e Gov. do Estado.  A sinergia  não rolou. PENA https://t.co/uSPvtEfnkN,1,1,1
"Entre os pré-candidatos à prefeitura de Belém, o ex-prefeito Duciomar Costa lidera a rejeição...",0,0,0
@ReichembachPR Lideranças da CIC criticam abandono e falta de investimento da prefeitura de Curitiba,-1,-1,-1
@Brasil247 Lideranças da CIC criticam abandono e falta de investimento da prefeitura de Curitiba,-1,-1,-1
Será uma dor de cabeça. Deve tirar foto inclusive do local e pôr representação no MP contra a @prefeiturabelem https://t.co/E0Emnv0ONG,-1,0,0
"Após 4 anos, obras do BRT seguem empacadas. @prefeiturabelem #Zenaldo #FazendoDoJeitoCerto https://t.co/EL9QETCNoK",0,0,0
"@prefeiturabelem @YouTube. Positivo, mais falta olhar o Bairro do UNA, que está um verdadeiro abandono!",-1,1,0
"@prefeiturabelem Professores temporários da SEMEC, denunciam que estão há mais de 2 meses sem receber seus salários. Pedem urgência no pgto.",-1,0,0
"ALÔ @prefeiturabelem!  Moradores da Alameda Castanhal, no bairro do Bengui, reclamam que carro do lixo não está passando no local há dias!",0,0,-1
Bois dentro do cemitério do Tapanã.  Comem até restos de cadáveres.  Prefeitura de Belém não manda capinar. O... https://t.co/Msy1bcZD7z,0,-1,0
"@PortalBandaB @Curitiba_PMC Pivetes em bicicletas,levam celular de idosa, pleno dia, av.JGualberto, atenção ????",1,1,0
"Olha o Time que vem pra tentar a prefeitura de BELÉM e não fazer nada como sempre : ZENALDO, DUDU, EDER MURO e EDIMILSON",0,1,0
@Curitiba_PMC assalto**,0,0,-1
@Curitiba_PMC no Rebouças também seria ótimo pq não aguento mais usuário de droga me pedindo dinheiro,-1,0,-1
@prefeiturabelem  Fico imaginando em quem os motoristas de Belém vão votar... Será q o #PSDBosta se reelege? https://t.co/VjrS3WyZhD,0,-1,-1
"@SeMOB_Bel @belemtransito @SantanaWalterjr @prefeiturabelem taparam apenas 3 buracos, precisamos de uma solução definitiva e não paliativa.",1,-1,0
@blogdojota @oicuritiba @Curitiba_PMC @CamaraCuritiba @clovisvc Pior prefeito #ForaFruet https://t.co/U1KVU1F8Q5,-1,1,-1
@UFPA_Oficial cadê do ps hein seus filhos não aguentam mais,0,0,-1
Uma pergunta que tá tirando meu sono: o resultado da repescagem da ufpa vai ser dia 18 mesmo? Ou nem....,0,1,0
"@diariodopara multar a @SeMOB_Bel sabe. Organizar o trânsito que é bom, nada Fala sério Socorro @prefeiturabelem @belemtransito @belemblitz",1,1,1
@HausOfBrynne a uepa vai lançar a décima repescagem e a ufpa ainda nessa...........quando Deus irá sorrir pra mim? Fica aí o questionamento,1,1,0
Duas funcionárias  nomeadas por apadrinhamento   na Prefeitura de Belém. comprando  tranqueira no Camelô da Esquina https://t.co/MMl9BVcQCX,1,1,1
@Curitiba_PMC Lembra que na campanha @gustavofruet prometeu revitalizar o Guadalupe? #curitiba @curitibalover @OnibusCtba,1,1,0
@prefeiturabelem  SESAN  as limpezas de vias públicas estão um caos. Varrem e mto mal.,-1,0,0
@prefeiturabelem @GovernoPara @pmepa Cracolândia da rua Riachuelo rolando solto e ninguém faz nada? @BelemNoticiass,1,-1,1
Meu twitter é mais parado que as obras da prefeitura de Belém.,0,-1,-1
"Independente de ideologia ou partidarismo, quem poderia imaginar que Zenaldo Coutinho faria gestão tão desastrosa na prefeitura de Belém?",0,-1,-1
"Na estrada da Yamada aqui no Tapanã transito totalmente parado, até quando isso? @belemtransito @megbarros @prefeiturabelem",0,-1,-1
Concursados chegando para protesto em frente à prefeitura de Belém.. https://t.co/FwUrTSxRnh,-1,0,-1
Lixo Urbano. Obstrução de via. Falta de Saneamento básico. #éassimmesmo @TVLiberal @prefeiturabelem @doldiarioonlin https://t.co/Cqa6C9lqIg,-1,-1,-1
@JorgeBernardi fala sobre a manifestação na Linha Verde e pede que a @Curitiba_PMC libere o tráfego p/ caminhões em todos os horários.,-1,0,0
Canal entre Av. Júlio César e Pass. Mirandinha. Belém/Pa. Lixo Urbano. #éassimmesmo @prefeiturabelem @TVLiberal https://t.co/i3RUJzRzWw,0,0,-1
"@g1para @doldiarioonline @prefeiturabelem mosqueiro abandonada, lixo, orla caindo e escadas desabando (murubira) https://t.co/GWPTkvKNj3",0,-1,-1
"Mínino, a gente vê cada look nesse UFPA cidade nova 6 hauahu",0,0,0
@prefeiturabelem Amigos.. Passo todos os dias na Praça do Operário e sinto na Pele o FEDOR QUE IMPERA NO LOCAL. Limpeza URGENTE. POR FAVOR!,1,1,0
Atenção @prefeiturabelem Uma paciente c/ Síndrome de Guillain-Barré clama por socorro no PS do Guamá https://t.co/n5dTxu72jI,1,1,1
"Desde das 9 da matina na UFPA estudando, estudando p final a professora adiar o seminário por conta de uma alergia...tá tranquilo?Melhoras????",1,1,1
Icoaraci-UFPA gostoso de janela fechada e lotado,0,1,0
@belemtransito @prefeiturabelem  Enquanto isso no BRT... https://t.co/C1Nou5lfXn,0,0,0
"@Curitiba_PMC e a respeito do 153, a gm só realiza vistoria, depois que acontece os assaltos, medidas preventivas não são tomadas",1,-1,-1
"Penso nos possíveis candidatos a prefeitura de Belém. Na política nacional q pede reforma, mas oferece rearranjo. E no Trump. O q aconteceu?",-1,1,0
@doldiarioonline Parte do site da prefeitura de Belém foi hackeado. https://t.co/l66USkV60v,1,0,0
@RodrigoWanzeler @belemblitz @ingridsouzafoto @prefeiturabelem Rodovia do Tapana está interditada. Moradores com pneus queimados .,0,-1,-1
@RodrigoWanzeler @belemblitz @ingridsouzafoto @prefeiturabelem carros quebrados na rua devido buracos.,0,-1,-1
Feirantes denunciam aumento abusivo por parte da prefeitura de Belém:   Os feirantes de Belém denunciaram na C... https://t.co/XQbAqBzE3O,1,-1,-1
@rogeriocorrea13 Feirantes denunciam aumento abusivo por parte da prefeitura de Belém:   Os fe... https://t.co/PrUudI20oP Siga @bordalopt,1,-1,-1
@Alemourao1974 @belemblitz @ingridsouzafoto @prefeiturabelem Perdi há duas semanas um pneu novo na Augusto Montenegro. Rasgou pelo lado.,-1,1,-1
@RodrigoWanzeler @Alemourao1974 @ingridsouzafoto @prefeiturabelem um dos nossos ads perdeu foi um jogo inteiro de aro 17 e 2 pneus!,0,-1,-1
Hey @Curitiba_PMC vai deixar chamar a cidade de Guantánamo?  https://t.co/f4ndmPn1qD,0,1,0
Caralho esse comercial da prefeitura de belem mano olha essa merda,-1,-1,-1
"Do jeito que o Brasil está, o jeito e quebrar tudo mesmo. Vamos começar quebrando a prefeitura de Belém #queremosoBRT",0,0,-1
Parece que tá difícil de tapar esses buracos @prefeiturabelem @SeMOB_Bel  https://t.co/TTUCIcFDaG,-1,-1,-1
Como assim 200$ a inscrição UFPA miga eu ainda não to ryca e a prova é em três fases tu acha q eu tenho $$ pra fazer essas viagens todas??,0,0,0
@giordanelages nova moda daqui a pouco não vai mais ter lugar na UFPA  https://t.co/iZ84Xv8Fqa,0,-1,0
Vamos mandar a população morrer em casa? @prefeiturabelem  https://t.co/6t8YiIqpOc,0,0,0
Concursados realizam protesto em frente à prefeitura de Belém https://t.co/XdFY0Y4t2I,0,0,-1
"@UFPA_Oficial o pobrema é q tem uns cara que ganham com essa guerra, e por isso a incitam",1,0,0
Quando é que a @Curitiba_PMC vai mandar a G.L. limpar com a língua aquelas merda que ela escreve nas parede da cidade?,-1,0,-1
@BelemNoticiass @doldiarioonline @prefeiturabelem nenhum telefone para substituição de lâmpadas está funcionando em Belém. #belem400anos?,0,0,0
"Poderia ter ficado na ufpa fazendo vários nadas, mas não. Vim pra casa...  Prevejo tretas malignas",-1,-1,-1
Agora vou ficar morrendo de medo de ir e vir da UFPA,-1,1,-1
@Curitiba_PMC mais de mês e a música da caçamba nao toca na minha rua. Giro o dial? Ou espero 11 meses e faço uma festinha de aniversario?,1,1,0
@Curitiba_PMC @ketelindutra JÁ DEMOROU ESSA FAIXA EXCLUSIVA! CHEGA DE ATRASO NO TRABALHO!,0,0,-1
"Em frente a Prefeitura de Belém, criadouro de Mosquitos, e ninguém faz nada. https://t.co/z10lxBGTRE",0,0,0
"@paideguapara Em frente a Prefeitura de Belém, criadouro de Mosquitos, e ninguém faz nada. https://t.co/z10lxBGTRE",0,0,0
"@Belem_Noticias Em frente a Prefeitura de Belém, criadouro de Mosquitos, e ninguém faz nada. https://t.co/z10lxBGTRE",0,0,0
"@belemtransito Em frente a Prefeitura de Belém, criadouro de Mosquitos, e ninguém faz nada. https://t.co/z10lxBGTRE",0,0,0
"Em frente a Prefeitura de Belém, criadouro de Mosquitos, e ninguém faZ'ENADA.... https://t.co/IreZL8X4Az",0,0,0
"ALÔ @prefeiturabelem :Cemitério São Jorge, na Marambaia está em total  abandono. População cobra melhorias no local https://t.co/qP0BY3x53w",1,1,0
Como sempre! Ali está cheio de buracos! @prefeiturabelem se esqueceu dessa parte da via! https://t.co/GqlFXjcdQP,1,0,0
"@Gazetadobozo @Curitiba_PMC @gustavofruet mais de um mês, atrapalhando a passagem dos pedestres e da ciclovia, absurdo !!",-1,1,-1
post da prefeitura de Belém no outro site sobre o avanço das obras do brt: TEU CU,1,0,0
@rogeriocorrea13 Prefeitura de Belém muda sistema de pagamento de taxas para feirantes e abusa... https://t.co/H5uprsmiA4 Siga @bordalopt,-1,1,-1
"tava fazendo as contas, logo q entrei na UFPa, fiz 3 semestres em um ano, e um semestre normal, agora +3 semestres em um ano e um normal",0,1,1
Prefeitura de Curitiba prorroga prazo para negociar dívidas de impostos: Término do Mutirão de Conciliação foi... https://t.co/vCeigjRDnM,0,0,-1
Sou contra este PL. Vagas de Administrador na Prefeitura de Belém serão extintas. https://t.co/t1Tgm33NGq,1,0,-1
Somos contra este PL. Vagas de Administrador serão extintas na Prefeitura de Belém. https://t.co/mrWasVnXBk,1,0,-1
@gustavofruet @Curitiba_PMC pode até ser legal embora imoral já que o feriado é apenas terça se todas as leis fossem cumpridas como essa?,0,0,-1
As propagandas da prefeitura de Belém sobre o ~novo~ PSM são uma afronta à inteligência das pessoas.,1,1,1
@jhonbogres olha só quem fala né gatona cê vive aí se declarando pra esses teus crushs e amigos daquela tal de ufpa e teu outro colégio.,-1,0,1
publica o descaso da @prefeiturabelem com mosqueiro @leiomaurobonna https://t.co/9kyA8PQWtb,0,0,0
"Aqui, temos um postulante à prefeitura de Belém, deputado Edmilson Rodrigues do PSOL, que apoia a Dilma e é... https://t.co/qT4WpaENsm",1,0,0
As cidades onde é mais rápido abrir uma empresa no Brasil -  https://t.co/SvFmHFzdks via @exame Precisa ser melhor @prefeiturabelem !,1,1,1
Pq a a_moca_do_taxi aparece mais que o prefeito de Belém. @prefeiturabelem  ???? Deve ser pq o prefeito é mais fantasma q ela.#belem400danos,0,0,0
